file,frame,action
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,7749,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,7795,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,7921,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,7975,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,8011,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,8075,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,8572,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,8601,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,8893,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,8963,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,8991,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,9013,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,10329,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,10390,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,10523,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,10630,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,10808,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,10851,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,11089,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,11118,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,11752,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,11860,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,11868,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,11931,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,12497,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,12538,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,15051,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,15073,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,15354,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,15373,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,15936,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,15947,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,15992,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,16012,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,16035,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,16357,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,16429,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,16451,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,16503,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,16603,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,17938,object1_start
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,17994,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,18008,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,18021,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,18995,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,19107,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_base_day2-07152022130400.avi,19151,object2_start
,,
