file,frame,action
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,2863,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,2882,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,3116,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,3155,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,3207,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,3233,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,3301,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,3345,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,3525,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,3593,object1_stop
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,3707,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,3721,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,4204,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,4233,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,4357,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,4425,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,4713,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,4749,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,4815,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,4825,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group3_test_day2-07152022143929.avi,5102,object1_start
,,
