file,frame,action
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,4135,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,4169,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,4352,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,4388,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,4543,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,4583,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,4947,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,4985,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,5205,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,5224,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,5482,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,5512,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,5679,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,5696,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,5809,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,5825,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,6174,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,6430,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,6572,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,6691,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,6952,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,7042,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,7119,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,7150,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,7184,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group3_cohort1_base-07222022135902.avi,7306,object2_stop
,,
