file,frame,action
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,5491,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,5538,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,5697,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,5766,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,5837,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,5850,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,6468,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,6519,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,10756,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,10797,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,10876,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,10932,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,11173,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,11205,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,11266,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,11285,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,11498,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,11515,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,11766,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,11802,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,13398,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,13589,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,15066,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,15084,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,15349,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,15373,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,15601,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,15614,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,15815,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,15850,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,18295,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,18440,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,19887,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,19993,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,20125,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,20185,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,20228,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,20272,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,20491,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,20609,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,21467,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,21524,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,21544,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,21587,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,22646,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,22800,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,22862,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,22910,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,23006,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,23021,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,23110,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/Cohort1/group1_cohort1_base-07222022160116.avi,23157,object2_stop
,,
