file,frame,action
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,4748,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,4791,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,4831,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,4856,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,5325,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,5381,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,5670,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,5813,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,7306,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,7333,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,8911,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,8931,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,9239,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,9428,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,10489,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,10521,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,11272,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,11448,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,11804,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,11820,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,11941,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,12093,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,12190,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,12265,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,12309,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,12404,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,13040,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,13080,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,13116,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,13129,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,13157,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,13176,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,13447,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,13500,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,14401,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,14468,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,14721,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,14744,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,15057,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,15103,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,15193,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,15281,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,15597,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,15654,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,16498,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,16546,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,16699,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,16719,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,16906,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,16960,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,17014,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,17034,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,17156,object1_start
,,
