file,frame,action
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,5957,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,5984,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,6144,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,6184,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,6371,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,6402,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,6635,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,6663,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,6996,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,7034,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,7859,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,7902,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,9782,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,9790,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,9892,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,9930,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,14071,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,14108,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,17180,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,17223,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,17350,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,17392,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,17810,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,17870,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,18096,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,18157,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,18651,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,18705,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,18775,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,18804,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,18906,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,18931,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,19191,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,19279,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,19434,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,19471,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,19956,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,19990,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,20169,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,20200,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,22374,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,22465,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,23348,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group2_test_day2-07152022142822.avi,23387,object1_stop
