file,frame,action
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,2258,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,2282,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,2439,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,2460,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,2809,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,2835,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,2919,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,2966,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,3120,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,3173,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,3686,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,3712,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,3927,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,4037,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,4286,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,4438,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,4527,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,4567,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,5793,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,5942,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,5991,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,6012,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,6068,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,6182,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,7534,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,7557,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,8196,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,8345,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,8488,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,8627,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,8929,object1_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,9274,object1_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,9335,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,9345,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,9405,object2_start
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,9463,object2_stop
,,
//10.253.5.16/sn data server 3/ryan_morton/object_location_validation/data/videos/round2/group9_test_day2-07152022172009.avi,9881,object2_start
,,
