file,frame,action
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,3605,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,3611,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,4115,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,4153,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,5185,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,5232,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,6454,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,6484,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,6827,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,6850,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,7149,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,7249,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,7549,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,7582,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,8941,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,8982,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,9178,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,9217,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,9606,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,9779,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,9885,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,10803,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,10936,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,11135,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,11615,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,11647,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,12211,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,12241,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,12327,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,13212,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,13271,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,13447,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,13641,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,13783,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,14556,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,15019,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,15145,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,15628,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,15691,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,15731,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,16535,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,16664,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,17091,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,17117,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,17121,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,17124,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,17198,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,17236,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,17763,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,17812,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,17913,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,18486,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,18757,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,18829,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,18943,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,18995,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,19113,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,19140,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,19190,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,19221,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,19401,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,19463,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,20573,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,20615,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,21084,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,21164,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,21329,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,21376,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,21689,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,21731,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,22451,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,23377,object1_stop
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,23523,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,23552,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,23680,object1_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,23815,object1_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,24327,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,24391,object2_stop
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,24471,object2_start
,,
Y:/ryan_morton/object_location_validation/data/videos/round2/group1_test_day2-07152022141517.avi,24533,object2_stop
